epoch,train_loss,val_accuracy,val_macro_f1,val_precision,val_recall,lr
1,0.886463,0.918543,0.926520,0.929652,0.925577,2.00e-04
2,0.249752,0.932450,0.939926,0.940754,0.939870,3.00e-04
3,0.154031,0.909934,0.919265,0.924691,0.919702,4.00e-04
4,0.124635,0.951656,0.957087,0.959197,0.957712,5.00e-04
5,0.104415,0.954967,0.960000,0.962265,0.960577,5.00e-04
6,0.087305,0.892715,0.907776,0.910686,0.906564,4.99e-04
7,0.090532,0.949007,0.954335,0.955294,0.954230,4.96e-04
8,0.071212,0.952318,0.956957,0.962809,0.956912,4.91e-04
9,0.082494,0.901987,0.911959,0.914691,0.910468,4.84e-04
10,0.081344,0.929801,0.939403,0.941153,0.939160,4.75e-04
11,0.078957,0.952980,0.956754,0.960313,0.957053,4.65e-04
12,0.062241,0.906623,0.915533,0.919462,0.914169,4.52e-04
13,0.078747,0.935099,0.942220,0.944080,0.942628,4.38e-04
14,0.065711,0.928477,0.936546,0.936546,0.936639,4.23e-04
15,0.060819,0.892053,0.904720,0.905944,0.903609,4.06e-04
16,0.041641,0.931788,0.939499,0.940091,0.939059,3.88e-04
17,0.046168,0.886093,0.898444,0.903875,0.898919,3.69e-04
18,0.066351,0.946358,0.952199,0.954741,0.952226,3.49e-04
19,0.053984,0.941722,0.948161,0.951036,0.948526,3.28e-04
20,0.042702,0.937748,0.944620,0.946948,0.944605,3.06e-04
21,0.031269,0.913907,0.923188,0.930300,0.924169,2.84e-04
22,0.024609,0.898675,0.908471,0.923820,0.910512,2.62e-04
23,0.023501,0.907947,0.918264,0.921251,0.917414,2.39e-04
24,0.030822,0.929139,0.937116,0.938765,0.936952,2.17e-04
25,0.019904,0.909272,0.918695,0.928600,0.919989,1.95e-04
26,0.018214,0.943046,0.949122,0.950721,0.948541,1.73e-04
27,0.016811,0.916556,0.925774,0.929224,0.925011,1.52e-04
28,0.012787,0.923179,0.931421,0.936802,0.931345,1.32e-04
29,0.012158,0.909272,0.918448,0.928684,0.918903,1.13e-04
30,0.012075,0.933775,0.940693,0.942372,0.939453,9.49e-05
31,0.015336,0.928477,0.935827,0.939378,0.934877,7.81e-05
32,0.009428,0.913907,0.922966,0.929397,0.922405,6.26e-05
33,0.006709,0.933113,0.939739,0.943661,0.938690,4.87e-05
34,0.005420,0.925828,0.933376,0.937385,0.932312,3.63e-05
35,0.006854,0.938411,0.944393,0.947321,0.943197,2.57e-05
36,0.006277,0.925828,0.933425,0.936449,0.932171,1.69e-05
37,0.005376,0.927152,0.934572,0.937770,0.933361,9.99e-06
38,0.005076,0.927815,0.935146,0.938435,0.933956,5.01e-06
39,0.004840,0.927152,0.934555,0.938136,0.933418,2.00e-06
40,0.003785,0.926490,0.933982,0.937462,0.932823,1.00e-06
