epoch,train_loss,val_accuracy,val_macro_f1,val_precision,val_recall,lr
1,0.511364,0.937086,0.944424,0.945000,0.944290,2.00e-04
2,0.105356,0.946358,0.952644,0.958145,0.953798,3.00e-04
3,0.095833,0.930464,0.936766,0.940174,0.937394,4.00e-04
4,0.093732,0.918543,0.921032,0.922279,0.928367,5.00e-04
5,0.090011,0.931788,0.939834,0.939758,0.940180,5.00e-04
6,0.071184,0.921192,0.929761,0.931858,0.927995,4.99e-04
7,0.083837,0.954305,0.959431,0.961984,0.960235,4.96e-04
8,0.063552,0.961589,0.965514,0.968509,0.965543,4.91e-04
9,0.062337,0.945033,0.950905,0.952433,0.951097,4.84e-04
10,0.069059,0.934437,0.940152,0.941818,0.939698,4.75e-04
11,0.064893,0.931126,0.937097,0.939447,0.937408,4.65e-04
12,0.060745,0.930464,0.937610,0.938255,0.937307,4.52e-04
13,0.056689,0.947020,0.952872,0.955308,0.953192,4.38e-04
14,0.046965,0.931126,0.938686,0.938889,0.938723,4.23e-04
15,0.041527,0.939073,0.945882,0.949216,0.946385,4.06e-04
16,0.035664,0.935762,0.941135,0.944016,0.941686,3.88e-04
17,0.030530,0.930464,0.937722,0.940101,0.937455,3.69e-04
18,0.036765,0.912583,0.921033,0.924823,0.918202,3.49e-04
19,0.030254,0.906623,0.916377,0.920296,0.915074,3.28e-04
20,0.026031,0.929801,0.936011,0.943035,0.936376,3.06e-04
21,0.019910,0.883444,0.896205,0.899613,0.893134,2.84e-04
22,0.018348,0.950993,0.955980,0.958928,0.954952,2.62e-04
23,0.018516,0.898675,0.909603,0.915308,0.909446,2.39e-04
24,0.011960,0.911258,0.919570,0.928558,0.919354,2.17e-04
25,0.007855,0.920530,0.928980,0.932320,0.927260,1.95e-04
26,0.007165,0.912583,0.921899,0.925705,0.918615,1.73e-04
27,0.005986,0.903974,0.914407,0.919523,0.912741,1.52e-04
28,0.003769,0.919205,0.927358,0.929981,0.925808,1.32e-04
29,0.004998,0.919205,0.927195,0.933045,0.926479,1.13e-04
30,0.001918,0.921854,0.929578,0.934334,0.928444,9.49e-05
31,0.001759,0.919868,0.927879,0.931743,0.926277,7.81e-05
32,0.001906,0.923179,0.930928,0.936069,0.930423,6.26e-05
33,0.001182,0.913907,0.922935,0.927216,0.922203,4.87e-05
34,0.000602,0.913245,0.922286,0.926665,0.921390,3.63e-05
35,0.001187,0.916556,0.925087,0.930108,0.924367,2.57e-05
36,0.001680,0.907947,0.917258,0.923709,0.916672,1.69e-05
37,0.000956,0.912583,0.921285,0.927967,0.920754,9.99e-06
38,0.000393,0.911921,0.920775,0.926981,0.920130,5.01e-06
39,0.000839,0.911921,0.920775,0.926981,0.920130,2.00e-06
40,0.000515,0.911921,0.920775,0.926981,0.920130,1.00e-06
1,0.511364,0.937086,0.944424,0.945000,0.944290,2.00e-04
2,0.105356,0.946358,0.952644,0.958145,0.953798,3.00e-04
3,0.095833,0.930464,0.936766,0.940174,0.937394,4.00e-04
4,0.093732,0.918543,0.921032,0.922279,0.928367,5.00e-04
5,0.090011,0.931788,0.939834,0.939758,0.940180,5.00e-04
6,0.071184,0.921192,0.929761,0.931858,0.927995,4.99e-04
7,0.083837,0.954305,0.959431,0.961984,0.960235,4.96e-04
8,0.063552,0.961589,0.965514,0.968509,0.965543,4.91e-04
9,0.062337,0.945033,0.950905,0.952433,0.951097,4.84e-04
10,0.069059,0.934437,0.940152,0.941818,0.939698,4.75e-04
11,0.064893,0.931126,0.937097,0.939447,0.937408,4.65e-04
12,0.060745,0.930464,0.937610,0.938255,0.937307,4.52e-04
13,0.056689,0.947020,0.952872,0.955308,0.953192,4.38e-04
14,0.046965,0.931126,0.938686,0.938889,0.938723,4.23e-04
15,0.041527,0.939073,0.945882,0.949216,0.946385,4.06e-04
16,0.035664,0.935762,0.941135,0.944016,0.941686,3.88e-04
17,0.030530,0.930464,0.937722,0.940101,0.937455,3.69e-04
18,0.036765,0.912583,0.921033,0.924823,0.918202,3.49e-04
19,0.030254,0.906623,0.916377,0.920296,0.915074,3.28e-04
20,0.026031,0.929801,0.936011,0.943035,0.936376,3.06e-04
21,0.019910,0.883444,0.896205,0.899613,0.893134,2.84e-04
22,0.018348,0.950993,0.955980,0.958928,0.954952,2.62e-04
23,0.018516,0.898675,0.909603,0.915308,0.909446,2.39e-04
24,0.011960,0.911258,0.919570,0.928558,0.919354,2.17e-04
25,0.007855,0.920530,0.928980,0.932320,0.927260,1.95e-04
26,0.007165,0.912583,0.921899,0.925705,0.918615,1.73e-04
27,0.005986,0.903974,0.914407,0.919523,0.912741,1.52e-04
28,0.003769,0.919205,0.927358,0.929981,0.925808,1.32e-04
29,0.004998,0.919205,0.927195,0.933045,0.926479,1.13e-04
30,0.001918,0.921854,0.929578,0.934334,0.928444,9.49e-05
31,0.001759,0.919868,0.927879,0.931743,0.926277,7.81e-05
32,0.001906,0.923179,0.930928,0.936069,0.930423,6.26e-05
33,0.001182,0.913907,0.922935,0.927216,0.922203,4.87e-05
34,0.000602,0.913245,0.922286,0.926665,0.921390,3.63e-05
35,0.001187,0.916556,0.925087,0.930108,0.924367,2.57e-05
36,0.001680,0.907947,0.917258,0.923709,0.916672,1.69e-05
37,0.000956,0.912583,0.921285,0.927967,0.920754,9.99e-06
38,0.000393,0.911921,0.920775,0.926981,0.920130,5.01e-06
39,0.000839,0.911921,0.920775,0.926981,0.920130,2.00e-06
40,0.000515,0.911921,0.920775,0.926981,0.920130,1.00e-06
