epoch,train_loss,val_accuracy,val_macro_f1,val_precision,val_recall,lr
1,0.000000,0.139735,0.104748,0.110573,0.128346,2.00e-04
2,0.000000,0.139735,0.104748,0.110573,0.128346,3.00e-04
3,0.000000,0.139735,0.104748,0.110573,0.128346,4.00e-04
4,0.000000,0.139735,0.104748,0.110573,0.128346,5.00e-04
5,0.000000,0.139735,0.104748,0.110573,0.128346,5.00e-04
6,0.000000,0.139735,0.104748,0.110573,0.128346,4.99e-04
7,0.000000,0.139735,0.104748,0.110573,0.128346,4.96e-04
8,0.000000,0.139735,0.104748,0.110573,0.128346,4.91e-04
9,0.000000,0.139735,0.104748,0.110573,0.128346,4.84e-04
10,0.000000,0.139735,0.104748,0.110573,0.128346,4.75e-04
11,0.000000,0.139735,0.104748,0.110573,0.128346,4.65e-04
12,0.000000,0.139735,0.104748,0.110573,0.128346,4.52e-04
13,0.000000,0.139735,0.104748,0.110573,0.128346,4.38e-04
14,0.000000,0.139735,0.104748,0.110573,0.128346,4.23e-04
15,0.000000,0.139735,0.104748,0.110573,0.128346,4.06e-04
16,0.000000,0.139735,0.104748,0.110573,0.128346,3.88e-04
17,0.000000,0.139735,0.104748,0.110573,0.128346,3.69e-04
18,0.000000,0.139735,0.104748,0.110573,0.128346,3.49e-04
19,0.000000,0.139735,0.104748,0.110573,0.128346,3.28e-04
20,0.000000,0.139735,0.104748,0.110573,0.128346,3.06e-04
21,0.000000,0.139735,0.104748,0.110573,0.128346,2.84e-04
22,0.000000,0.139735,0.104748,0.110573,0.128346,2.62e-04
23,0.000000,0.139735,0.104748,0.110573,0.128346,2.39e-04
24,0.000000,0.139735,0.104748,0.110573,0.128346,2.17e-04
25,0.000000,0.139735,0.104748,0.110573,0.128346,1.95e-04
26,0.000000,0.139735,0.104748,0.110573,0.128346,1.73e-04
27,0.000000,0.139735,0.104748,0.110573,0.128346,1.52e-04
28,0.000000,0.139735,0.104748,0.110573,0.128346,1.32e-04
29,0.000000,0.139735,0.104748,0.110573,0.128346,1.13e-04
30,0.000000,0.139735,0.104748,0.110573,0.128346,9.49e-05
31,0.000000,0.139735,0.104748,0.110573,0.128346,7.81e-05
32,0.000000,0.139735,0.104748,0.110573,0.128346,6.26e-05
33,0.000000,0.139735,0.104748,0.110573,0.128346,4.87e-05
34,0.000000,0.139735,0.104748,0.110573,0.128346,3.63e-05
35,0.000000,0.139735,0.104748,0.110573,0.128346,2.57e-05
36,0.000000,0.139735,0.104748,0.110573,0.128346,1.69e-05
37,0.000000,0.139735,0.104748,0.110573,0.128346,9.99e-06
38,0.000000,0.139735,0.104748,0.110573,0.128346,5.01e-06
39,0.000000,0.139735,0.104748,0.110573,0.128346,2.00e-06
40,0.000000,0.139735,0.104748,0.110573,0.128346,1.00e-06
