epoch,train_loss,val_accuracy,val_macro_f1,val_precision,val_recall,lr
1,1.489187,0.600000,0.545166,0.733812,0.550181,2.00e-04
2,1.054937,0.733113,0.714779,0.779315,0.707068,3.00e-04
3,0.909221,0.843046,0.836924,0.846105,0.836148,4.00e-04
4,0.760933,0.890066,0.888809,0.890485,0.889356,5.00e-04
5,0.554694,0.900000,0.906211,0.910017,0.906657,5.00e-04
6,0.374936,0.914570,0.922818,0.922819,0.923312,4.99e-04
7,0.249243,0.914570,0.922853,0.923911,0.923236,4.96e-04
8,0.179897,0.931126,0.938337,0.938286,0.938783,4.91e-04
9,0.153217,0.943046,0.948499,0.948563,0.948614,4.84e-04
10,0.122872,0.935099,0.941499,0.941520,0.941522,4.75e-04
11,0.115265,0.924503,0.932186,0.933812,0.932074,4.65e-04
12,0.112676,0.911258,0.919946,0.924175,0.920141,4.52e-04
13,0.112596,0.939735,0.945888,0.946801,0.946246,4.38e-04
14,0.094417,0.913907,0.922522,0.925637,0.922579,4.23e-04
15,0.091853,0.913907,0.922557,0.925678,0.922705,4.06e-04
16,0.083438,0.904636,0.914030,0.919297,0.914498,3.88e-04
17,0.080775,0.929139,0.936685,0.936651,0.936777,3.69e-04
18,0.086369,0.941722,0.947587,0.947436,0.947818,3.49e-04
19,0.095767,0.925166,0.932940,0.932850,0.933171,3.28e-04
20,0.072442,0.907947,0.916989,0.920036,0.917524,3.06e-04
21,0.072226,0.920530,0.928692,0.929273,0.928919,2.84e-04
22,0.056107,0.927152,0.934657,0.934692,0.934871,2.62e-04
23,0.061406,0.942384,0.948188,0.948344,0.948555,2.39e-04
24,0.062456,0.919868,0.928011,0.928837,0.927964,2.17e-04
25,0.062237,0.930464,0.937544,0.937426,0.937664,1.95e-04
26,0.044820,0.935762,0.942515,0.942775,0.942483,1.73e-04
27,0.043451,0.940397,0.946579,0.947100,0.946649,1.52e-04
28,0.049357,0.927815,0.935279,0.935439,0.935227,1.32e-04
29,0.040490,0.927815,0.935634,0.936168,0.935324,1.13e-04
30,0.045714,0.919868,0.928803,0.929171,0.928692,9.49e-05
31,0.034448,0.931788,0.939028,0.939208,0.938855,7.81e-05
32,0.040284,0.931788,0.939018,0.939213,0.938826,6.26e-05
33,0.027058,0.937748,0.944464,0.944751,0.944338,4.87e-05
34,0.029183,0.934437,0.941531,0.941764,0.941305,3.63e-05
35,0.026163,0.932450,0.939773,0.940043,0.939519,2.57e-05
36,0.027053,0.932450,0.939773,0.940043,0.939519,1.69e-05
37,0.029365,0.931126,0.938419,0.938659,0.938203,9.99e-06
38,0.024091,0.931788,0.939018,0.939213,0.938826,5.01e-06
39,0.021991,0.931788,0.939018,0.939213,0.938826,2.00e-06
40,0.023451,0.931788,0.939018,0.939213,0.938826,1.00e-06
