epoch,train_loss,val_accuracy,val_macro_f1,val_precision,val_recall,lr
1,1.029124,0.896689,0.900273,0.904778,0.899321,2.00e-04
2,0.408563,0.927152,0.935287,0.936563,0.935023,3.00e-04
3,0.215137,0.952980,0.957955,0.960509,0.958685,4.00e-04
4,0.144587,0.940397,0.947547,0.947677,0.947628,5.00e-04
5,0.131495,0.901987,0.911985,0.919793,0.912954,5.00e-04
6,0.111371,0.952318,0.958088,0.960576,0.958759,4.99e-04
7,0.110953,0.962252,0.966466,0.968605,0.967151,4.96e-04
8,0.093081,0.917881,0.927190,0.929605,0.927255,4.91e-04
9,0.093512,0.874834,0.895087,0.913310,0.893725,4.84e-04
10,0.084472,0.936424,0.945237,0.950212,0.944652,4.75e-04
11,0.078401,0.943046,0.949554,0.950138,0.949154,4.65e-04
12,0.071592,0.922517,0.931900,0.932613,0.931602,4.52e-04
13,0.052645,0.948344,0.953888,0.957039,0.954455,4.38e-04
14,0.067890,0.937748,0.944500,0.944765,0.944399,4.23e-04
15,0.060977,0.935762,0.942741,0.942552,0.943237,4.06e-04
16,0.053191,0.925828,0.930264,0.933797,0.931552,3.88e-04
17,0.063290,0.925166,0.933826,0.935236,0.932958,3.69e-04
18,0.054804,0.931788,0.938966,0.948907,0.939244,3.49e-04
19,0.033308,0.938411,0.945769,0.946026,0.945574,3.28e-04
20,0.029050,0.937086,0.944810,0.945066,0.944564,3.06e-04
21,0.033290,0.946358,0.952892,0.958314,0.953519,2.84e-04
22,0.032051,0.928477,0.936954,0.937030,0.936955,2.62e-04
23,0.024870,0.948344,0.954372,0.955614,0.954727,2.39e-04
24,0.026025,0.943709,0.950131,0.950128,0.950419,2.17e-04
25,0.025812,0.944371,0.950718,0.951011,0.951099,1.95e-04
26,0.012845,0.921192,0.929865,0.933846,0.930989,1.73e-04
27,0.010392,0.937748,0.944546,0.944357,0.944874,1.52e-04
28,0.013259,0.939073,0.945788,0.946015,0.946230,1.32e-04
29,0.010109,0.939735,0.946244,0.946221,0.946692,1.13e-04
30,0.007064,0.929139,0.936917,0.937856,0.937622,9.49e-05
31,0.008718,0.939073,0.945475,0.945975,0.946113,7.81e-05
32,0.007852,0.941060,0.947218,0.947025,0.947643,6.26e-05
33,0.007413,0.939735,0.946064,0.946064,0.946566,4.87e-05
34,0.007168,0.938411,0.944965,0.945064,0.945456,3.63e-05
35,0.006367,0.938411,0.944961,0.944900,0.945400,2.57e-05
36,0.006896,0.939735,0.946124,0.946137,0.946590,1.69e-05
37,0.006346,0.939735,0.946124,0.946137,0.946590,9.99e-06
38,0.004111,0.939735,0.946124,0.946137,0.946590,5.01e-06
39,0.004843,0.939735,0.946124,0.946137,0.946590,2.00e-06
40,0.003274,0.939735,0.946124,0.946137,0.946590,1.00e-06
