epoch,train_loss,val_accuracy,val_macro_f1,val_precision,val_recall,lr
1,1.677427,0.566887,0.449744,0.662115,0.500776,2.00e-04
2,1.283241,0.570861,0.468886,0.688787,0.508014,3.00e-04
3,1.169760,0.607285,0.529986,0.731742,0.550420,4.00e-04
4,1.046890,0.694702,0.665818,0.739735,0.659172,5.00e-04
5,0.846645,0.810596,0.793260,0.801867,0.793112,5.00e-04
6,0.779193,0.888079,0.872727,0.876263,0.872444,4.99e-04
7,0.648765,0.887417,0.877614,0.883257,0.877781,4.96e-04
8,0.581550,0.925828,0.919254,0.920121,0.919144,4.91e-04
9,0.469205,0.929139,0.927976,0.933086,0.928945,4.84e-04
10,0.386737,0.925166,0.926648,0.933343,0.928444,4.75e-04
11,0.301619,0.942384,0.943209,0.943678,0.945036,4.65e-04
12,0.231465,0.931126,0.933805,0.940330,0.936528,4.52e-04
13,0.225979,0.933113,0.935989,0.942686,0.938475,4.38e-04
14,0.173781,0.935762,0.939600,0.945638,0.941522,4.23e-04
15,0.168921,0.925828,0.931356,0.931021,0.931828,4.06e-04
16,0.146486,0.934437,0.938366,0.946193,0.939987,3.88e-04
17,0.129011,0.941722,0.944583,0.950949,0.945646,3.69e-04
18,0.140095,0.947020,0.949555,0.954328,0.950307,3.49e-04
19,0.121681,0.949669,0.952137,0.955564,0.952644,3.28e-04
20,0.107092,0.945695,0.948612,0.952823,0.949123,3.06e-04
21,0.100104,0.941722,0.945213,0.951404,0.945933,2.84e-04
22,0.112155,0.939073,0.942962,0.951107,0.943877,2.62e-04
23,0.101694,0.940397,0.944310,0.952597,0.945335,2.39e-04
24,0.092101,0.923179,0.929642,0.931205,0.929878,2.17e-04
25,0.096972,0.919868,0.926759,0.927463,0.926761,1.95e-04
26,0.075010,0.905298,0.913302,0.914305,0.913227,1.73e-04
27,0.075448,0.901987,0.910514,0.911096,0.910449,1.52e-04
28,0.070973,0.907947,0.915879,0.916287,0.915863,1.32e-04
29,0.073040,0.911921,0.919511,0.920057,0.919434,1.13e-04
30,0.046151,0.911921,0.919511,0.920057,0.919434,9.49e-05
31,0.053121,0.901987,0.910686,0.911049,0.910597,7.81e-05
32,0.057825,0.895364,0.904691,0.905486,0.904617,6.26e-05
33,0.058218,0.894040,0.903488,0.904386,0.903426,4.87e-05
34,0.054385,0.894702,0.904090,0.904936,0.904021,3.63e-05
35,0.051615,0.895364,0.904691,0.905486,0.904617,2.57e-05
36,0.043341,0.895364,0.904725,0.905419,0.904645,1.69e-05
37,0.045939,0.896689,0.905923,0.906532,0.905835,9.99e-06
38,0.032661,0.897351,0.906520,0.907091,0.906431,5.01e-06
39,0.046897,0.897351,0.906520,0.907091,0.906431,2.00e-06
40,0.045474,0.897351,0.906520,0.907091,0.906431,1.00e-06
